file,basename,ok_load,shape,dtype,mean_brightness,std_brightness,hog_count,cnn_count,haar_count,encodings_count,notes
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\Chante'.jpg,Chante'.jpg,True,"(1945, 1273, 3)",uint8,78.76843801557764,47.65134131577477,0,error,3,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\Louis_repaired.jpg,Louis_repaired.jpg,True,"(2369, 1337, 3)",uint8,109.77617019637533,61.67245669372392,0,error,1,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\Lymma_repaired.jpg,Lymma_repaired.jpg,True,"(515, 351, 3)",uint8,109.07543495698836,59.31176643877435,0,error,1,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\Matt_repaired.jpg,Matt_repaired.jpg,True,"(2073, 1481, 3)",uint8,120.04235414136222,52.61544987748573,0,error,1,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\Peanut_repaired.jpg,Peanut_repaired.jpg,True,"(1864, 1280, 3)",uint8,122.30311452186159,51.692925851066434,0,error,2,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\bobby.jpg,bobby.jpg,True,"(449, 321, 3)",uint8,122.49459858876423,43.64939259813736,0,error,1,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\celinda.jpg,celinda.jpg,True,"(3065, 1929, 3)",uint8,101.76251952469266,32.08368848934107,0,error,2,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\dalinya.jpg,dalinya.jpg,True,"(1809, 1145, 3)",uint8,118.29233068041646,41.03979277104039,0,error,0,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\sebastiaan.jpg,sebastiaan.jpg,True,"(2313, 1497, 3)",uint8,137.35224621313532,44.19400943024035,0,error,0,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\selena.jpg,selena.jpg,True,"(1825, 1665, 3)",uint8,120.32594874326381,47.580858302521676,0,error,1,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
D:\Python_Env\New_Virtual_Env\Personal\Facial_Recognition_Folder\New_Images\tjaart.jpg,tjaart.jpg,True,"(1921, 1585, 3)",uint8,137.07822752673835,52.91952159684323,0,error,1,error," HOG error:Unsupported image type, must be 8bit gray or RGB image. CNN error:Unsupported image type, must be 8bit gray or RGB image. enc_error:Unsupported image type, must be 8bit gray or RGB image."
